Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2009/10/27,bos,cle,95,89,allenra02,piercpa01,rondora01,garneke01,perkike01,wallara01,daniema01,willish02,jamesle01,parkean01,willima01,varejan01,onealsh01,ilgauzy01,gibsoda01,moonja01,2541,2279,2069,1985,1542,1430,1053,750,2695,2410,2102,1970,1728,1479,822,821
2009/10/27,was,dal,102,91,arenagi01,butleca01,haywobr01,blatcan01,foyera01,millemi01,stevede01,obertfa01,nowitdi01,terryja01,kiddja01,mariosh01,dampier01,bareajo01,rossqu01,goodedr01,2300,2299,2256,2099,1818,1333,1073,1041,2338,2243,2205,2131,1741,1408,1122,935
2009/10/27,lac,lal,92,99,kamanch01,thornal01,gordoer01,butlera01,davisba01,telfase01,cambyma01,smithcr01,artesro01,odomla01,bryanko01,bynuman01,fishede01,farmajo01,mbengdj01,brownsh01,2213,2119,1959,1761,1658,1285,1278,1199,2451,2404,2300,2292,1981,899,588,521
2009/10/27,hou,por,87,96,brookaa01,arizatr01,battish01,lowryky01,landrca01,hayesch01,scolalu01,anderda03,roybr01,outlatr01,odengr01,blakest01,millean02,fernaru01,webstma02,aldrila01,2501,1978,1663,1596,1555,1492,1325,1145,2249,1977,1581,1575,1549,1531,1508,1445
2009/10/28,ind,atl,109,120,murphtr01,grangda01,jonesda02,hibbero01,watsoea01,fordtj01,rushbr01,jonesso01,johnsjo02,smithjo03,horfoal01,willima02,bibbymi01,pachuza01,evansma01,teaguje01,2243,2059,1589,1515,1492,1388,1156,1051,2363,2112,2011,1874,1843,989,908,836
2009/10/28,cha,bos,59,92,wallage01,grahast01,augusdj01,hendege02,diawbo01,feltora01,brownde04,chandty01,allenra02,rondora01,perkike01,garneke01,piercpa01,willish02,daniema01,houseed01,2268,1717,1635,1502,1493,1380,1241,1234,2281,1793,1574,1553,1483,1327,1310,1087
2009/10/28,uta,den,105,114,willide01,kirilan01,brewero02,boozeca01,okurme01,millspa01,pricero01,fesenky01,anthoca01,martike01,hilarne01,billuch01,lawsoty01,anderch01,afflaar01,cartean01,2435,2312,2160,1891,1862,1366,1202,641,2372,2233,2013,1971,1585,1365,1363,1048
2009/10/28,hou,gsw,108,107,arizatr01,brookaa01,scolalu01,battish01,hayesch01,landrca01,budinch01,lowryky01,ellismo01,curryst01,jacksst02,biedran01,turiaro01,maggeco01,morroan01,azubuke01,2374,2318,2114,1965,1542,1478,1062,1015,2280,2139,2078,1839,1537,1485,1348,1096
2009/10/28,pho,lac,109,107,barbole01,stoudam01,nashst01,hillgr01,fryech01,dudleja01,clarkea01,dragigo01,kamanch01,gordoer01,cambyma01,davisba01,butlera01,thornal01,telfase01,smithcr01,2414,2401,2230,1980,1532,1383,1221,650,2508,2455,2366,2239,1941,1492,641,553
2009/10/28,det,mem,96,74,hamilri01,princta01,wallabe01,stuckro01,gordobe01,brownkw01,bynumwi01,villach01,mayooj01,gayru01,conlemi01,randoza01,gasolma01,carrode01,willima03,thabeha01,2176,1892,1697,1625,1557,1510,1403,1008,2146,2042,1930,1809,1808,1168,1054,724
