Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
afflaar01,2221.0,11.7,2.2,4.1,2.7,5.4,1.8,4.0
aldrila01,2922.0,17.2,2.0,7.7,7.1,14.2,0.1,0.2
allenma01,456.0,8.3,1.3,6.5,3.6,8.7,0.1,0.5
allenra02,2819.0,16.7,2.7,3.2,4.1,7.3,1.9,5.1
allento01,889.0,13.4,2.9,5.9,5.2,10.0,0.0,0.2
alstora01,2842.0,10.812491203377904,4.492575650950035,3.284764250527797,2.454292751583392,7.005066854327938,1.4691414496833217,4.292188599577762
amundlo01,1168.0,11.4,1.0,10.7,4.7,8.5,0.0,0.0
anderch01,1695.0,9.5,0.7,10.3,3.0,5.3,0.0,0.1
anderda03,891.0,14.8,1.8,8.4,4.8,10.6,1.1,3.2
anderry01,911.0,19.2,1.5,8.0,3.6,7.0,3.1,8.3
anthoca01,2634.0,26.6,3.0,6.2,8.6,18.0,0.8,2.6
anthojo01,1322.0,5.9,0.3,6.8,2.1,4.3,0.0,0.0
arenagi01,1169.0,22.2,7.1,4.1,5.9,13.4,1.9,5.6
arizatr01,2629.0,14.7,3.8,5.5,3.5,8.1,1.9,5.6
armsthi01,670.0,7.618955223880596,2.275970149253731,8.70641791044776,3.0204477611940295,8.37865671641791,0.0,0.10373134328358209
arroyca01,1585.0,10.0,5.1,3.0,3.9,7.9,0.2,0.6
arthuda01,457.0,11.3,1.2,8.7,5.0,11.4,0.0,0.1
atkinch01,644.0,9.0,5.1,1.6,2.0,4.7,1.2,4.1
augusdj01,1472.0,12.4,4.7,2.4,2.4,6.3,1.7,4.4
pendeje02,405.0,9.2,0.1,8.7,3.8,5.8,0.0,0.0
azubuke01,231.0,19.5,1.6,6.4,5.9,9.5,1.6,4.2
balkmre01,91.0,5.5,2.8,9.1,2.4,4.4,0.0,2.8
banksma01,244.0,16.1,3.8,3.4,4.7,7.2,1.0,3.5
barbole01,786.0,19.1,2.9,3.2,5.1,10.5,2.0,6.2
bareajo01,1546.0,13.9,6.0,3.4,4.1,8.6,1.3,3.7
bargnan01,2799.0,17.7,1.2,6.3,5.4,10.5,1.6,4.2
barnema02,2097.0,12.3,2.3,7.6,3.5,6.0,1.1,3.6
barroea01,232.0,12.7,1.2,11.9,4.7,10.6,0.0,0.0
bassbr01,648.0,16.1,1.1,7.1,6.6,12.9,0.0,0.0
battito01,134.0,9.7,0.8,6.2,3.5,9.7,0.3,1.1
battish01,2168.0,8.9,2.7,5.2,1.3,2.8,1.7,4.6
batumni01,918.0,14.7,1.7,5.5,3.3,5.3,2.1,5.2
bayleje01,1304.0,17.4,4.7,3.3,4.7,10.8,0.8,2.5
beaslmi01,2328.0,17.9,1.5,7.7,6.8,14.5,0.4,1.6
beaubro01,700.0,20.4,3.8,4.0,5.7,9.7,2.3,5.7
belinma01,1121.0,15.1,2.9,3.1,3.0,7.1,1.9,5.1
bellch01,1611.0,10.3,2.3,2.9,2.1,5.4,1.6,4.5
bellra01,360.0,14.217222222222224,2.603333333333333,4.591388888888889,3.1849999999999996,6.796666666666666,2.4161111111111113,5.398888888888889
bendejo01,292.0,14.5,2.0,6.4,3.2,7.5,1.7,4.8
bibbymi01,2195.0,12.0,5.1,3.0,2.3,5.2,2.1,5.3
biedran01,763.0,7.8,2.7,12.2,3.8,6.5,0.0,0.0
billuch01,2490.0,20.6,5.9,3.3,3.5,8.0,2.3,5.9
blairde01,1494.0,15.4,1.6,12.7,6.6,11.9,0.0,0.0
blakest01,4318.0,9.794117647058824,6.314705882352941,3.1029411764705888,1.7,3.7999999999999994,1.9147058823529408,4.8882352941176475
blatcan01,2256.0,18.2,2.7,8.1,7.4,15.2,0.2,0.7
boganke01,1559.0,8.0,2.2,4.1,1.2,2.4,1.6,4.5
bogutan01,2229.0,17.7,2.1,11.3,7.6,14.7,0.0,0.0
bonnema01,1161.0,14.2,2.1,6.6,2.4,4.4,2.8,7.2
boonejo01,1045.0,8.7,1.0,10.9,4.0,7.7,0.0,0.0
boozeca01,2673.0,20.5,3.3,11.8,8.3,14.8,0.0,0.0
boshch01,2526.0,23.9,2.4,10.8,8.4,16.2,0.1,0.3
boykiea01,1117.0,14.2,5.5,2.4,4.9,11.1,0.6,1.9
brandel01,2297.0,15.6,1.7,7.2,6.5,13.4,0.0,0.0
breweco01,2482.0,15.5,2.8,4.0,4.7,10.3,1.2,3.4
brewero02,3484.0,10.60304247990815,3.2063719862227327,3.883926521239954,4.183409873708381,8.194890929965556,0.19540757749712975,0.6339265212399541
brezepr01,190.0,7.186842105263158,0.3863157894736842,9.476842105263158,3.41421052631579,9.866315789473683,0.0,0.0
brockjo01,654.0,8.1,1.2,11.7,3.0,5.7,0.0,0.0
brookaa01,2919.0,19.8,5.4,2.7,4.5,9.9,2.6,6.5
brownbo02,1038.0,14.903179190751445,6.083622350674373,2.63121387283237,4.297591522157997,9.610404624277455,1.8131984585741812,6.779190751445086
brownde04,535.0,12.5,1.3,5.2,4.4,9.4,0.1,0.5
